txn_id,account_id,amount,currency,txn_ts,channel
T9090,A155,4969.16,INR,2026-01-15 15:13:25,BRANCH
T9162,A124,19857.17,USD,2026-01-15 13:38:01,MOBILE
T9114,A149,8210.5,EUR,2026-01-15 07:25:24,MOBILE
T9266,A127,12811.38,USD,2026-01-15 06:47:10,POS
T9014,A119,10682.55,INR,2026-01-15 08:31:11,MOBILE
T9199,A122,14656.78,USD,2026-01-15 06:07:30,POS
T9011,A110,7537.51,USD,2026-01-15 21:44:42,POS
T9243,A136,9822.69,GBP,2026-01-15 23:02:35,BRANCH
T9007,A160,6180.78,USD,2026-01-15 13:12:06,MOBILE
T9226,A115,5911.11,GBP,2026-01-15 22:31:23,ATM
T9131,A158,12919.73,GBP,2026-01-15 10:23:29,POS
T9283,A114,658.74,EUR,2026-01-15 10:38:04,ONLINE
T9110,A103,4554.73,EUR,2026-01-15 21:01:51,ONLINE
T9272,A122,11742.16,USD,2026-01-15 14:17:31,MOBILE
T9082,A156,610.57,EUR,2026-01-15 23:15:53,BRANCH
T9228,A106,6336.98,USD,2026-01-15 14:11:08,BRANCH
T9083,A130,19133.22,USD,2026-01-15 23:22:16,MOBILE
T9208,A133,18361.39,USD,2026-01-15 03:53:46,ONLINE
T9117,A122,6849.83,EUR,2026-01-15 19:24:38,BRANCH
T9159,A122,910.57,GBP,2026-01-15 02:39:32,POS
T9274,A143,11805.42,USD,2026-01-15 22:22:21,ATM
T9041,A112,880.91,INR,2026-01-15 07:20:22,BRANCH
T9115,A133,14116.98,USD,2026-01-15 02:16:03,BRANCH
T9250,A134,11646.97,EUR,2026-01-15 17:26:54,MOBILE
T9265,A114,19169.46,GBP,2026-01-15 15:31:25,ONLINE
T9213,A110,193.96,USD,2026-01-15 23:10:59,MOBILE
T9065,A159,14237.62,GBP,2026-01-15 05:44:04,ONLINE
T9287,A127,4374.75,USD,2026-01-15 19:53:31,ONLINE
T9039,A130,19616.48,EUR,2026-01-15 16:54:59,ONLINE
T9118,A115,9686.18,USD,2026-01-15 22:12:43,BRANCH
T9268,A145,5570.5,GBP,2026-01-15 07:29:32,ATM
T9238,A129,12335.29,USD,2026-01-15 21:37:11,BRANCH
T9251,A123,740.12,GBP,2026-01-15 19:47:36,POS
T9116,A120,10511.92,INR,2026-01-15 17:25:01,MOBILE
T9068,A135,9350.78,USD,2026-01-15 13:25:53,ATM
T9143,A148,4714.25,USD,2026-01-15 13:57:55,BRANCH
T9158,A100,5092.87,GBP,2026-01-15 14:24:57,POS
T9051,A155,851.89,INR,2026-01-15 16:16:46,POS
T9223,A149,7937.08,USD,2026-01-15 21:41:07,BRANCH
T9191,A141,9327.68,USD,2026-01-15 13:51:34,BRANCH
T9053,A132,8127.17,GBP,2026-01-15 23:12:40,ONLINE
T9236,A126,8696.35,USD,2026-01-15 06:05:16,ATM
T9064,A135,14192.26,EUR,2026-01-15 12:38:57,BRANCH
T9091,A112,14423.96,GBP,2026-01-15 21:01:58,MOBILE
T9186,A148,3767.33,EUR,2026-01-15 02:38:59,POS
T9073,A108,15356.79,USD,2026-01-15 06:37:30,ATM
T9284,A149,11315.18,GBP,2026-01-15 16:39:02,POS
T9015,A160,7359.98,EUR,2026-01-15 07:03:50,MOBILE
T9010,A156,13240.28,GBP,2026-01-15 01:22:27,ONLINE
T9215,A114,18383.45,USD,2026-01-15 19:13:46,POS
T9264,A135,10322.3,USD,2026-01-15 08:52:50,POS
T9281,A126,13063.13,EUR,2026-01-15 18:24:08,MOBILE
T9201,A154,681.31,USD,2026-01-15 19:04:34,ATM
T9004,A105,14178.14,USD,2026-01-15 21:39:53,MOBILE
T9147,A160,12776.03,USD,2026-01-15 04:16:29,POS
T9120,A122,6344.23,EUR,2026-01-15 17:48:14,BRANCH
T9044,A107,6641.83,GBP,2026-01-15 23:52:28,MOBILE
T9093,A132,18904.93,USD,2026-01-15 03:16:42,ONLINE
T9107,A101,9500.48,USD,2026-01-15 10:54:54,ATM
T9099,A148,10087.59,EUR,2026-01-15 14:03:59,POS
T9222,A121,16774.3,EUR,2026-01-15 08:27:07,POS
T9262,A102,1348.15,GBP,2026-01-15 11:36:40,ATM
T9092,A156,9338.97,USD,2026-01-15 18:44:26,ATM
T9003,A144,19354.09,EUR,2026-01-15 11:17:42,ONLINE
T9200,A156,3685.04,EUR,2026-01-15 17:46:44,ATM
T9269,A155,2039.53,EUR,2026-01-15 21:01:14,BRANCH
T9127,A103,12760.7,USD,2026-01-15 08:12:59,BRANCH
T9196,A114,3927.85,USD,2026-01-15 05:32:56,ONLINE
T9028,A107,10557.79,GBP,2026-01-15 22:10:07,ONLINE
T9229,A117,7201.55,USD,2026-01-15 16:11:32,ATM
T9126,A115,14819.12,USD,2026-01-15 22:24:58,POS
T9061,A139,4295.34,USD,2026-01-15 16:14:53,MOBILE
T9254,A143,19672.25,EUR,2026-01-15 20:30:22,BRANCH
T9075,A160,6923.73,EUR,2026-01-15 08:12:32,BRANCH
T9100,A106,2380.63,USD,2026-01-15 22:14:50,BRANCH
T9048,A111,19901.99,EUR,2026-01-15 21:56:04,BRANCH
T9130,A148,13012.52,INR,2026-01-15 17:23:00,BRANCH
T9171,A155,13442.11,USD,2026-01-15 21:45:52,ATM
T9292,A136,16109.78,USD,2026-01-15 07:32:04,BRANCH
T9052,A150,5494.73,INR,2026-01-15 15:50:08,ATM
T9077,A139,12502.32,EUR,2026-01-15 04:33:26,POS
T9006,A127,12922.27,EUR,2026-01-15 03:24:09,ATM
T9072,A153,2571.05,GBP,2026-01-15 12:32:36,POS
T9155,A132,1823.38,USD,2026-01-15 17:47:51,ATM
T9245,A134,4000.0,USD,2026-01-15 20:31:45,POS
T9153,A134,4047.12,USD,2026-01-15 18:24:15,BRANCH
T9141,A125,6561.89,EUR,2026-01-15 18:45:38,ONLINE
T9288,A102,17496.82,USD,2026-01-15 10:50:21,BRANCH
T9021,A105,16621.78,INR,2026-01-15 05:21:53,ONLINE
T9282,A105,9776.55,EUR,2026-01-15 16:09:36,ONLINE
T9070,A152,15384.45,EUR,2026-01-15 14:57:23,ONLINE
T9271,A120,19318.5,EUR,2026-01-15 19:12:48,POS
T9181,A109,17151.54,GBP,2026-01-15 10:56:58,ATM
T9212,A124,8108.54,EUR,2026-01-15 03:24:15,ATM
T9246,A129,19060.33,INR,2026-01-15 00:58:47,ONLINE
T9278,A118,3341.48,USD,2026-01-15 20:12:13,BRANCH
T9218,A137,19229.58,USD,2026-01-15 00:34:12,MOBILE
T9150,A152,16040.89,USD,2026-01-15 19:34:13,ONLINE
T9031,A132,333.62,EUR,2026-01-15 19:31:01,ONLINE
T9227,A145,3088.65,GBP,2026-01-15 09:45:23,ONLINE
T9025,A118,2756.3,INR,2026-01-15 05:19:02,MOBILE
T9217,A102,11272.38,USD,2026-01-15 19:46:16,BRANCH
T9055,A115,2528.97,GBP,2026-01-15 01:16:01,BRANCH
T9297,A120,2929.14,GBP,2026-01-15 09:05:25,MOBILE
T9277,A140,3719.15,EUR,2026-01-15 15:24:08,ONLINE
T9157,A151,9250.25,USD,2026-01-15 20:20:42,ATM
T9105,A147,19812.36,GBP,2026-01-15 14:18:25,POS
T9038,A122,2672.52,EUR,2026-01-15 12:06:23,ONLINE
T9252,A105,12765.42,USD,2026-01-15 21:37:13,ONLINE
T9240,A127,8807.26,GBP,2026-01-15 11:59:53,POS
T9259,A105,18411.35,USD,2026-01-15 15:08:42,ONLINE
T9089,A118,1940.75,INR,2026-01-15 05:07:45,POS
T9112,A115,16434.12,USD,2026-01-15 05:22:49,ATM
T9257,A149,7825.73,EUR,2026-01-15 13:37:16,POS
T9166,A129,19569.92,EUR,2026-01-15 00:49:39,POS
T9156,A126,2643.23,USD,2026-01-15 16:30:32,ATM
T9230,A135,8622.44,EUR,2026-01-15 06:49:21,MOBILE
T9144,A136,11651.3,USD,2026-01-15 10:59:36,BRANCH
T9135,A136,190.3,EUR,2026-01-15 01:21:50,BRANCH
T9017,A152,19325.53,USD,2026-01-15 15:14:34,POS
T9036,A101,5076.74,USD,2026-01-15 13:35:29,ATM
T9173,A118,10080.4,USD,2026-01-15 05:06:07,POS
T9164,A107,17206.43,USD,2026-01-15 23:47:40,POS
T9034,A134,19068.31,EUR,2026-01-15 02:27:50,POS
T9192,A131,10258.77,USD,2026-01-15 13:05:39,MOBILE
T9198,A141,19330.33,GBP,2026-01-15 17:47:24,MOBILE
T9097,A123,15278.32,USD,2026-01-15 13:19:03,ATM
T9035,A155,411.58,USD,2026-01-15 20:10:33,MOBILE
T9076,A140,5015.85,INR,2026-01-15 02:52:16,BRANCH
T9094,A103,11668.97,USD,2026-01-15 07:49:59,MOBILE
T9270,A107,3945.5,USD,2026-01-15 11:52:07,MOBILE
T9214,A136,15688.6,INR,2026-01-15 23:28:49,ATM
T9026,A130,15178.03,USD,2026-01-15 05:03:11,ATM
T9999,A106,,USD,2026-01-15 11:00:00,ONLINE
T9187,A155,9590.49,INR,2026-01-15 07:54:04,BRANCH
T9022,A159,17693.17,USD,2026-01-15 16:25:30,ATM
T9098,A123,11238.53,EUR,2026-01-15 20:45:47,ATM
T9058,A123,2758.21,USD,2026-01-15 20:53:45,BRANCH
T9018,A103,17460.67,EUR,2026-01-15 05:02:20,BRANCH
T9239,A121,18976.73,GBP,2026-01-15 00:14:47,MOBILE
T9237,A115,5037.74,GBP,2026-01-15 13:08:53,MOBILE
T9177,A127,12521.73,EUR,2026-01-15 06:22:35,ATM
T9285,A107,2268.65,USD,2026-01-15 18:35:52,POS
T9220,A148,6637.94,GBP,2026-01-15 19:40:52,ATM
T9030,A153,1260.83,INR,2026-01-15 16:38:34,POS
T9209,A152,10531.49,USD,2026-01-15 22:33:55,MOBILE
T9087,A123,2619.67,EUR,2026-01-15 14:31:00,ATM
T9178,A142,18832.02,USD,2026-01-15 12:32:23,POS
T9231,A122,530.11,EUR,2026-01-15 03:45:38,POS
T9002,A137,6670.57,EUR,2026-01-15 05:28:29,BRANCH
T9113,A120,383.65,USD,2026-01-15 06:56:46,MOBILE
T9174,A149,11551.61,EUR,2026-01-15 11:36:39,BRANCH
T9132,A146,10705.37,INR,2026-01-15 08:27:17,ATM
T9057,A123,18976.73,USD,2026-01-15 16:22:52,ATM
T9151,A105,17463.34,EUR,2026-01-15 21:41:34,POS
T9033,A142,3750.34,USD,2026-01-15 15:10:00,BRANCH
T9019,A145,18686.2,GBP,2026-01-15 20:11:24,ATM
T9122,A151,19092.4,USD,2026-01-15 12:33:57,ATM
T9054,A138,2859.88,EUR,2026-01-15 01:08:01,MOBILE
T9267,A127,8994.25,USD,2026-01-15 07:11:03,ONLINE
T9276,A138,7772.32,USD,2026-01-15 18:35:54,MOBILE
T9180,A130,15089.55,USD,2026-01-15 06:41:41,ONLINE
T9275,A111,6111.07,USD,2026-01-15 08:41:10,ONLINE
T9295,A150,19255.63,USD,2026-01-15 04:56:11,ATM
T9109,A141,9494.43,GBP,2026-01-15 21:43:58,POS
T9059,A101,19210.6,GBP,2026-01-15 09:05:17,MOBILE
T9193,A123,18287.04,USD,2026-01-15 11:39:33,ATM
T9179,A126,13927.69,USD,2026-01-15 11:36:17,MOBILE
T9185,A143,5372.89,EUR,2026-01-15 01:52:35,ATM
T9078,A160,3376.87,EUR,2026-01-15 23:20:15,ONLINE
T9160,A104,18691.98,XYZ,2026-01-15 02:11:37,MOBILE
T9101,A148,18779.28,USD,2026-01-15 20:18:36,POS
T9013,A148,12213.86,GBP,2026-01-15 16:10:22,MOBILE
T9084,A144,9073.61,USD,2026-01-15 10:49:45,MOBILE
T9190,A135,18302.95,USD,2026-01-15 14:26:27,BRANCH
T9042,A152,10310.09,EUR,2026-01-15 11:17:22,BRANCH
T9128,A149,2015.4,USD,2026-01-15 17:11:58,POS
T9184,A105,16943.43,EUR,2026-01-15 16:22:34,ONLINE
T9293,A120,10777.68,INR,2026-01-15 21:43:51,BRANCH
T9140,A140,12221.04,INR,2026-01-15 06:23:22,MOBILE
T9081,A149,13024.34,EUR,2026-01-15 09:38:08,POS
T9154,A143,8839.6,USD,2026-01-15 18:56:42,POS
T9067,A101,15808.51,USD,2026-01-15 08:37:09,POS
T9103,A133,16080.3,USD,2026-01-15 12:07:32,POS
T9286,A148,10843.16,USD,2026-01-15 13:21:25,MOBILE
T9000,A135,6597.17,EUR,2026-01-15 02:23:59,BRANCH
T9233,A105,7759.05,GBP,2026-01-15 15:03:58,POS
T9225,A137,3718.83,EUR,2026-01-15 15:43:23,ATM
T9080,A101,16505.6,USD,2026-01-15 01:29:59,POS
T9063,A151,19945.26,EUR,2026-01-15 16:12:21,BRANCH
T9008,A108,4534.73,USD,2026-01-15 06:59:26,BRANCH
T9235,A117,5382.03,USD,2026-01-15 05:03:18,ATM
T9050,A110,14354.67,EUR,2026-01-15 21:56:26,BRANCH
T9023,A115,10042.63,USD,2026-01-15 14:26:04,ATM
T9024,A120,4494.65,INR,2026-01-15 13:39:00,BRANCH
T9175,A109,6038.78,XYZ,2026-01-15 08:37:31,POS
T9248,A119,2787.89,USD,2026-01-15 18:10:44,ONLINE
T9066,A107,10177.57,XYZ,2026-01-15 13:09:41,ONLINE
T9172,A134,8782.06,USD,2026-01-15 14:38:45,ATM
T9145,A107,1247.18,USD,2026-01-15 08:36:12,ONLINE
T9165,A146,10579.21,INR,2026-01-15 14:18:38,ATM
T9137,A129,17021.94,USD,2026-01-15 04:53:09,ATM
T9253,A110,13295.55,EUR,2026-01-15 23:56:33,ATM
T9108,A150,11676.12,INR,2026-01-15 15:09:56,ATM
T9219,A136,5989.04,USD,2026-01-15 02:48:04,MOBILE
T9111,A139,12582.36,GBP,2026-01-15 19:05:12,MOBILE
T9203,A132,187.78,USD,2026-01-15 05:29:55,ATM
T9273,A143,3454.69,GBP,2026-01-15 22:28:38,BRANCH
T9032,A139,8587.63,USD,2026-01-15 10:36:17,POS
T9183,A113,4860.96,USD,2026-01-15 14:08:30,ATM
T9234,A110,11441.35,EUR,2026-01-15 08:50:16,ONLINE
T9047,A146,16023.96,USD,2026-01-15 09:42:39,MOBILE
T9001,A142,14476.05,INR,2026-01-15 09:10:29,POS
T9167,A152,10641.01,USD,2026-01-15 15:26:31,MOBILE
T9249,A104,15782.59,USD,2026-01-15 15:24:20,POS
T9232,A155,15689.85,USD,2026-01-15 21:46:26,BRANCH
T9188,A112,4240.1,INR,2026-01-15 00:33:29,ATM
T9142,A159,9551.69,USD,2026-01-15 05:07:10,BRANCH
T9263,A141,16984.35,USD,2026-01-15 00:49:20,ONLINE
T9206,A117,10590.71,EUR,2026-01-15 00:36:32,BRANCH
